alpha,metric,group,data,opt
0.15,hr,Male,0.18338223526273673,baseline
0.15,hr,Female,0.18045417680454176,baseline
0.15,hr,Under 18,0.18915710328452712,baseline
0.15,hr,18-24,0.17784711388455537,baseline
0.15,hr,25-34,0.18908296943231442,baseline
0.15,hr,35-44,0.18736383442265794,baseline
0.15,hr,45-49,0.19230769230769232,baseline
0.15,hr,50-55,0.10909090909090909,baseline
0.15,hr,56+,0.058823529411764705,baseline
0.15,recall,Overall,0.010420076699734443,baseline
0.15,recall,Male,0.009774195040094706,baseline
0.15,recall,Female,0.011674064833109616,baseline
0.15,recall,Under 18,0.011422783085225317,baseline
0.15,recall,18-24,0.009728917406788341,baseline
0.15,recall,25-34,0.010282177756670279,baseline
0.15,recall,35-44,0.008660360417551215,baseline
0.15,recall,45-49,0.01796113582121035,baseline
0.15,recall,50-55,0.0071025250408044225,baseline
0.15,recall,56+,0.003576956804781909,baseline
0.15,precision,Overall,0.026937624647548314,baseline
0.15,precision,Male,0.027580688183515605,baseline
0.15,precision,Female,0.027169505271695052,baseline
0.15,precision,Under 18,0.028254847645429366,baseline
0.15,precision,18-24,0.026922219745932698,baseline
0.15,precision,25-34,0.028296943231441052,baseline
0.15,precision,35-44,0.026797385620915035,baseline
0.15,precision,45-49,0.03717948717948718,baseline
0.15,precision,50-55,0.019999999999999997,baseline
0.15,precision,56+,0.007352941176470588,baseline
0.15,LIR,Overall,0.08477474180158501,baseline
0.15,LIR,Male,0.08550654404147733,baseline
0.15,LIR,Female,0.08253219071483277,baseline
0.15,LIR,Under 18,0.07854253022436411,baseline
0.15,LIR,18-24,0.09222838832073502,baseline
0.15,LIR,25-34,0.08066242197550584,baseline
0.15,LIR,35-44,0.07825418425606126,baseline
0.15,LIR,45-49,0.06629527505811258,baseline
0.15,LIR,50-55,0.06298937577728533,baseline
0.15,LIR,56+,0.04217382825548745,baseline
0.15,SEP,Overall,0.7898733498863826,baseline
0.15,SEP,Male,0.7897462514940934,baseline
0.15,SEP,Female,0.7891885875098725,baseline
0.15,SEP,Under 18,0.7885941670002047,baseline
0.15,SEP,18-24,0.789753034664713,baseline
0.15,SEP,25-34,0.7904032448559327,baseline
0.15,SEP,35-44,0.7898590371583436,baseline
0.15,SEP,45-49,0.7980110828655317,baseline
0.15,SEP,50-55,0.7772976143629678,baseline
0.15,SEP,56+,0.7896628129144593,baseline
0.15,ETD,Overall,0.1303100669307472,baseline
0.15,ETD,Male,0.13058646882176297,baseline
0.15,ETD,Female,0.12911584684805436,baseline
0.15,ETD,Under 18,0.13066491688538934,baseline
0.15,ETD,18-24,0.13036644071126832,baseline
0.15,ETD,25-34,0.12948495370370372,baseline
0.15,ETD,35-44,0.1305076628352491,baseline
0.15,ETD,45-49,0.12517580872011247,baseline
0.15,ETD,50-55,0.12896825396825398,baseline
0.15,ETD,56+,0.13398692810457516,baseline
0.2,ndcg,Overall,0.08595733393433348,baseline
0.2,ndcg,Male,0.08677785426956099,baseline
0.2,ndcg,Female,0.08770015418309048,baseline
0.2,ndcg,Under 18,0.09112090797937661,baseline
0.2,ndcg,18-24,0.08413522221292175,baseline
0.2,ndcg,25-34,0.08856266080725367,baseline
0.2,ndcg,35-44,0.0950809658115496,baseline
0.2,ndcg,45-49,0.10430245682486514,baseline
0.2,ndcg,50-55,0.043126916424289,baseline
0.2,ndcg,56+,0.032256270641430454,baseline
0.2,hr,Overall,0.18183068564747953,baseline
0.2,hr,Male,0.18338223526273673,baseline
0.2,hr,Female,0.18045417680454176,baseline
0.2,hr,Under 18,0.18915710328452712,baseline
0.2,hr,18-24,0.17784711388455537,baseline
0.2,hr,25-34,0.18908296943231442,baseline
0.2,hr,35-44,0.18736383442265794,baseline
0.2,hr,45-49,0.19230769230769232,baseline
0.2,hr,50-55,0.10909090909090909,baseline
0.2,hr,56+,0.058823529411764705,baseline
0.2,recall,Overall,0.010420076699734443,baseline
0.2,recall,Male,0.009774195040094706,baseline
0.2,recall,Female,0.011674064833109616,baseline
0.2,recall,Under 18,0.011422783085225317,baseline
0.2,recall,18-24,0.009728917406788341,baseline
0.2,recall,25-34,0.010282177756670279,baseline
0.2,recall,35-44,0.008660360417551215,baseline
0.2,recall,45-49,0.01796113582121035,baseline
0.2,recall,50-55,0.0071025250408044225,baseline
0.2,recall,56+,0.003576956804781909,baseline
0.2,precision,Overall,0.026937624647548314,baseline
0.2,precision,Male,0.027580688183515605,baseline
0.2,precision,Female,0.027169505271695052,baseline
0.2,precision,Under 18,0.028254847645429366,baseline
0.2,precision,18-24,0.026922219745932698,baseline
0.2,precision,25-34,0.028296943231441052,baseline
0.2,precision,35-44,0.026797385620915035,baseline
0.2,precision,45-49,0.03717948717948718,baseline
0.2,precision,50-55,0.019999999999999997,baseline
0.2,precision,56+,0.007352941176470588,baseline
0.2,LIR,Overall,0.08477474180158501,baseline
0.2,LIR,Male,0.08550654404147733,baseline
0.2,LIR,Female,0.08253219071483277,baseline
0.2,LIR,Under 18,0.07854253022436411,baseline
0.2,LIR,18-24,0.09222838832073502,baseline
0.2,LIR,25-34,0.08066242197550584,baseline
0.2,LIR,35-44,0.07825418425606126,baseline
0.2,LIR,45-49,0.06629527505811258,baseline
0.2,LIR,50-55,0.06298937577728533,baseline
0.2,LIR,56+,0.04217382825548745,baseline
0.2,SEP,Overall,0.7898733498863826,baseline
0.2,SEP,Male,0.7897462514940934,baseline
0.2,SEP,Female,0.7891885875098725,baseline
0.2,SEP,Under 18,0.7885941670002047,baseline
0.2,SEP,18-24,0.789753034664713,baseline
0.2,SEP,25-34,0.7904032448559327,baseline
0.2,SEP,35-44,0.7898590371583436,baseline
0.2,SEP,45-49,0.7980110828655317,baseline
0.2,SEP,50-55,0.7772976143629678,baseline
0.2,SEP,56+,0.7896628129144593,baseline
0.2,ETD,Overall,0.1303100669307472,baseline
0.2,ETD,Male,0.13058646882176297,baseline
0.2,ETD,Female,0.12911584684805436,baseline
0.2,ETD,Under 18,0.13066491688538934,baseline
0.2,ETD,18-24,0.13036644071126832,baseline
0.2,ETD,25-34,0.12948495370370372,baseline
0.2,ETD,35-44,0.1305076628352491,baseline
0.2,ETD,45-49,0.12517580872011247,baseline
0.2,ETD,50-55,0.12896825396825398,baseline
0.2,ETD,56+,0.13398692810457516,baseline
0.25,ndcg,Overall,0.08595733393433348,baseline
0.25,ndcg,Male,0.08677785426956099,baseline
0.25,ndcg,Female,0.08770015418309048,baseline
0.25,ndcg,Under 18,0.09112090797937661,baseline
0.25,ndcg,18-24,0.08413522221292175,baseline
0.25,ndcg,25-34,0.08856266080725367,baseline
0.25,ndcg,35-44,0.0950809658115496,baseline
0.25,ndcg,45-49,0.10430245682486514,baseline
0.25,ndcg,50-55,0.043126916424289,baseline
0.25,ndcg,56+,0.032256270641430454,baseline
0.25,hr,Overall,0.18183068564747953,baseline
0.25,hr,Male,0.18338223526273673,baseline
0.25,hr,Female,0.18045417680454176,baseline
0.25,hr,Under 18,0.18915710328452712,baseline
0.25,hr,18-24,0.17784711388455537,baseline
0.25,hr,25-34,0.18908296943231442,baseline
0.25,hr,35-44,0.18736383442265794,baseline
0.25,hr,45-49,0.19230769230769232,baseline
0.25,hr,50-55,0.10909090909090909,baseline
0.25,hr,56+,0.058823529411764705,baseline
0.25,recall,Overall,0.010420076699734443,baseline
0.25,recall,Male,0.009774195040094706,baseline
0.25,recall,Female,0.011674064833109616,baseline
0.25,recall,Under 18,0.011422783085225317,baseline
0.25,recall,18-24,0.009728917406788341,baseline
0.25,recall,25-34,0.010282177756670279,baseline
0.25,recall,35-44,0.008660360417551215,baseline
0.25,recall,45-49,0.01796113582121035,baseline
0.25,recall,50-55,0.0071025250408044225,baseline
0.25,recall,56+,0.003576956804781909,baseline
0.25,precision,Overall,0.026937624647548314,baseline
0.25,precision,Male,0.027580688183515605,baseline
0.25,precision,Female,0.027169505271695052,baseline
0.25,precision,Under 18,0.028254847645429366,baseline
0.25,precision,18-24,0.026922219745932698,baseline
0.25,precision,25-34,0.028296943231441052,baseline
0.25,precision,35-44,0.026797385620915035,baseline
0.25,precision,45-49,0.03717948717948718,baseline
0.25,precision,50-55,0.019999999999999997,baseline
0.25,precision,56+,0.007352941176470588,baseline
0.25,LIR,Overall,0.08477474180158501,baseline
0.25,LIR,Male,0.08550654404147733,baseline
0.25,LIR,Female,0.08253219071483277,baseline
0.25,LIR,Under 18,0.07854253022436411,baseline
0.25,LIR,18-24,0.09222838832073502,baseline
0.25,LIR,25-34,0.08066242197550584,baseline
0.25,LIR,35-44,0.07825418425606126,baseline
0.25,LIR,45-49,0.06629527505811258,baseline
0.25,LIR,50-55,0.06298937577728533,baseline
0.25,LIR,56+,0.04217382825548745,baseline
0.25,SEP,Overall,0.7898733498863826,baseline
0.25,SEP,Male,0.7897462514940934,baseline
0.25,SEP,Female,0.7891885875098725,baseline
0.25,SEP,Under 18,0.7885941670002047,baseline
0.25,SEP,18-24,0.789753034664713,baseline
0.25,SEP,25-34,0.7904032448559327,baseline
0.25,SEP,35-44,0.7898590371583436,baseline
0.25,SEP,45-49,0.7980110828655317,baseline
0.25,SEP,50-55,0.7772976143629678,baseline
0.25,SEP,56+,0.7896628129144593,baseline
0.25,ETD,Overall,0.1303100669307472,baseline
0.25,ETD,Male,0.13058646882176297,baseline
0.25,ETD,Female,0.12911584684805436,baseline
0.25,ETD,Under 18,0.13066491688538934,baseline
0.25,ETD,18-24,0.13036644071126832,baseline
0.25,ETD,25-34,0.12948495370370372,baseline
0.25,ETD,35-44,0.1305076628352491,baseline
0.25,ETD,45-49,0.12517580872011247,baseline
0.25,ETD,50-55,0.12896825396825398,baseline
0.25,ETD,56+,0.13398692810457516,baseline
0.3,ndcg,Overall,0.08595733393433348,baseline
0.3,ndcg,Male,0.08677785426956099,baseline
0.3,ndcg,Female,0.08770015418309048,baseline
0.3,ndcg,Under 18,0.09112090797937661,baseline
0.3,ndcg,18-24,0.08413522221292175,baseline
0.3,ndcg,25-34,0.08856266080725367,baseline
0.3,ndcg,35-44,0.0950809658115496,baseline
0.3,ndcg,45-49,0.10430245682486514,baseline
0.3,ndcg,50-55,0.043126916424289,baseline
0.3,ndcg,56+,0.032256270641430454,baseline
0.3,hr,Overall,0.18183068564747953,baseline
0.3,hr,Male,0.18338223526273673,baseline
0.3,hr,Female,0.18045417680454176,baseline
0.3,hr,Under 18,0.18915710328452712,baseline
0.3,hr,18-24,0.17784711388455537,baseline
0.3,hr,25-34,0.18908296943231442,baseline
0.3,hr,35-44,0.18736383442265794,baseline
0.3,hr,45-49,0.19230769230769232,baseline
0.3,hr,50-55,0.10909090909090909,baseline
0.3,hr,56+,0.058823529411764705,baseline
0.3,recall,Overall,0.010420076699734443,baseline
0.3,recall,Male,0.009774195040094706,baseline
0.3,recall,Female,0.011674064833109616,baseline
0.3,recall,Under 18,0.011422783085225317,baseline
0.3,recall,18-24,0.009728917406788341,baseline
0.3,recall,25-34,0.010282177756670279,baseline
0.3,recall,35-44,0.008660360417551215,baseline
0.3,recall,45-49,0.01796113582121035,baseline
0.3,recall,50-55,0.0071025250408044225,baseline
0.3,recall,56+,0.003576956804781909,baseline
0.3,precision,Overall,0.026937624647548314,baseline
0.3,precision,Male,0.027580688183515605,baseline
0.3,precision,Female,0.027169505271695052,baseline
0.3,precision,Under 18,0.028254847645429366,baseline
0.3,precision,18-24,0.026922219745932698,baseline
0.3,precision,25-34,0.028296943231441052,baseline
0.3,precision,35-44,0.026797385620915035,baseline
0.3,precision,45-49,0.03717948717948718,baseline
0.3,precision,50-55,0.019999999999999997,baseline
0.3,precision,56+,0.007352941176470588,baseline
0.3,LIR,Overall,0.08477474180158501,baseline
0.3,LIR,Male,0.08550654404147733,baseline
0.3,LIR,Female,0.08253219071483277,baseline
0.3,LIR,Under 18,0.07854253022436411,baseline
0.3,LIR,18-24,0.09222838832073502,baseline
0.3,LIR,25-34,0.08066242197550584,baseline
0.3,LIR,35-44,0.07825418425606126,baseline
0.3,LIR,45-49,0.06629527505811258,baseline
0.3,LIR,50-55,0.06298937577728533,baseline
0.3,LIR,56+,0.04217382825548745,baseline
0.3,SEP,Overall,0.7898733498863826,baseline
0.3,SEP,Male,0.7897462514940934,baseline
0.3,SEP,Female,0.7891885875098725,baseline
0.3,SEP,Under 18,0.7885941670002047,baseline
0.3,SEP,18-24,0.789753034664713,baseline
0.3,SEP,25-34,0.7904032448559327,baseline
0.3,SEP,35-44,0.7898590371583436,baseline
0.3,SEP,45-49,0.7980110828655317,baseline
0.3,SEP,50-55,0.7772976143629678,baseline
0.3,SEP,56+,0.7896628129144593,baseline
0.3,ETD,Overall,0.1303100669307472,baseline
0.3,ETD,Male,0.13058646882176297,baseline
0.3,ETD,Female,0.12911584684805436,baseline
0.3,ETD,Under 18,0.13066491688538934,baseline
0.3,ETD,18-24,0.13036644071126832,baseline
0.3,ETD,25-34,0.12948495370370372,baseline
0.3,ETD,35-44,0.1305076628352491,baseline
0.3,ETD,45-49,0.12517580872011247,baseline
0.3,ETD,50-55,0.12896825396825398,baseline
0.3,ETD,56+,0.13398692810457516,baseline
0.35,ndcg,Overall,0.08595733393433348,baseline
0.35,ndcg,Male,0.08677785426956099,baseline
0.35,ndcg,Female,0.08770015418309048,baseline
0.35,ndcg,Under 18,0.09112090797937661,baseline
0.35,ndcg,18-24,0.08413522221292175,baseline
0.35,ndcg,25-34,0.08856266080725367,baseline
0.35,ndcg,35-44,0.0950809658115496,baseline
0.35,ndcg,45-49,0.10430245682486514,baseline
0.35,ndcg,50-55,0.043126916424289,baseline
0.35,ndcg,56+,0.032256270641430454,baseline
0.35,hr,Overall,0.18183068564747953,baseline
0.35,hr,Male,0.18338223526273673,baseline
0.35,hr,Female,0.18045417680454176,baseline
0.35,hr,Under 18,0.18915710328452712,baseline
0.35,hr,18-24,0.17784711388455537,baseline
0.35,hr,25-34,0.18908296943231442,baseline
0.35,hr,35-44,0.18736383442265794,baseline
0.35,hr,45-49,0.19230769230769232,baseline
0.35,hr,50-55,0.10909090909090909,baseline
0.35,hr,56+,0.058823529411764705,baseline
0.35,recall,Overall,0.010420076699734443,baseline
0.35,recall,Male,0.009774195040094706,baseline
0.35,recall,Female,0.011674064833109616,baseline
0.35,recall,Under 18,0.011422783085225317,baseline
0.35,recall,18-24,0.009728917406788341,baseline
0.35,recall,25-34,0.010282177756670279,baseline
0.35,recall,35-44,0.008660360417551215,baseline
0.35,recall,45-49,0.01796113582121035,baseline
0.35,recall,50-55,0.0071025250408044225,baseline
0.35,recall,56+,0.003576956804781909,baseline
0.35,precision,Overall,0.026937624647548314,baseline
0.35,precision,Male,0.027580688183515605,baseline
0.35,precision,Female,0.027169505271695052,baseline
0.35,precision,Under 18,0.028254847645429366,baseline
0.35,precision,18-24,0.026922219745932698,baseline
0.35,precision,25-34,0.028296943231441052,baseline
0.35,precision,35-44,0.026797385620915035,baseline
0.35,precision,45-49,0.03717948717948718,baseline
0.35,precision,50-55,0.019999999999999997,baseline
0.35,precision,56+,0.007352941176470588,baseline
0.35,LIR,Overall,0.08477474180158501,baseline
0.35,LIR,Male,0.08550654404147733,baseline
0.35,LIR,Female,0.08253219071483277,baseline
0.35,LIR,Under 18,0.07854253022436411,baseline
0.35,LIR,18-24,0.09222838832073502,baseline
0.35,LIR,25-34,0.08066242197550584,baseline
0.35,LIR,35-44,0.07825418425606126,baseline
0.35,LIR,45-49,0.06629527505811258,baseline
0.35,LIR,50-55,0.06298937577728533,baseline
0.35,LIR,56+,0.04217382825548745,baseline
0.35,SEP,Overall,0.7898733498863826,baseline
0.35,SEP,Male,0.7897462514940934,baseline
0.35,SEP,Female,0.7891885875098725,baseline
0.35,SEP,Under 18,0.7885941670002047,baseline
0.35,SEP,18-24,0.789753034664713,baseline
0.35,SEP,25-34,0.7904032448559327,baseline
0.35,SEP,35-44,0.7898590371583436,baseline
0.35,SEP,45-49,0.7980110828655317,baseline
0.35,SEP,50-55,0.7772976143629678,baseline
0.35,SEP,56+,0.7896628129144593,baseline
0.35,ETD,Overall,0.1303100669307472,baseline
0.35,ETD,Male,0.13058646882176297,baseline
0.35,ETD,Female,0.12911584684805436,baseline
0.35,ETD,Under 18,0.13066491688538934,baseline
0.35,ETD,18-24,0.13036644071126832,baseline
0.35,ETD,25-34,0.12948495370370372,baseline
0.35,ETD,35-44,0.1305076628352491,baseline
0.35,ETD,45-49,0.12517580872011247,baseline
0.35,ETD,50-55,0.12896825396825398,baseline
0.35,ETD,56+,0.13398692810457516,baseline
0.4,ndcg,Overall,0.08595733393433348,baseline
0.4,ndcg,Male,0.08677785426956099,baseline
0.4,ndcg,Female,0.08770015418309048,baseline
0.4,ndcg,Under 18,0.09112090797937661,baseline
0.4,ndcg,18-24,0.08413522221292175,baseline
0.4,ndcg,25-34,0.08856266080725367,baseline
0.4,ndcg,35-44,0.0950809658115496,baseline
0.4,ndcg,45-49,0.10430245682486514,baseline
0.4,ndcg,50-55,0.043126916424289,baseline
0.4,ndcg,56+,0.032256270641430454,baseline
0.4,hr,Overall,0.18183068564747953,baseline
0.4,hr,Male,0.18338223526273673,baseline
0.4,hr,Female,0.18045417680454176,baseline
0.4,hr,Under 18,0.18915710328452712,baseline
