model,alpha,precision,ETD
PGPR,0.0000,0.0233,0.1396
PGPR,0.0500,0.0233,0.1834
PGPR,0.1000,0.0232,0.1974
PGPR,0.1500,0.0231,0.2109
PGPR,0.2000,0.0229,0.2254
PGPR,0.2500,0.0227,0.2398
PGPR,0.3000,0.0224,0.2558
PGPR,0.3500,0.0220,0.2746
PGPR,0.4000,0.0216,0.2950
PGPR,0.4500,0.0212,0.3154
PGPR,0.5000,0.0207,0.3343
PGPR,0.5500,0.0204,0.3478
PGPR,0.6000,0.0202,0.3537
PGPR,0.6500,0.0201,0.3550
PGPR,0.7000,0.0202,0.3552
PGPR,0.7500,0.0202,0.3552
PGPR,0.8000,0.0202,0.3552
PGPR,0.8500,0.0202,0.3552
PGPR,0.9000,0.0202,0.3552
PGPR,0.9500,0.0202,0.3552
PGPR,1.0000,0.0202,0.3552
UCPR-matched,0.0000,0.0310,0.1196
UCPR-matched,0.0500,0.0309,0.1360
UCPR-matched,0.1000,0.0309,0.1409
UCPR-matched,0.1500,0.0308,0.1472
UCPR-matched,0.2000,0.0308,0.1534
UCPR-matched,0.2500,0.0307,0.1588
UCPR-matched,0.3000,0.0306,0.1646
UCPR-matched,0.3500,0.0305,0.1699
UCPR-matched,0.4000,0.0303,0.1749
UCPR-matched,0.4500,0.0302,0.1788
UCPR-matched,0.5000,0.0301,0.1814
UCPR-matched,0.5500,0.0300,0.1831
UCPR-matched,0.6000,0.0300,0.1843
UCPR-matched,0.6500,0.0299,0.1851
UCPR-matched,0.7000,0.0299,0.1855
UCPR-matched,0.7500,0.0299,0.1856
UCPR-matched,0.8000,0.0299,0.1856
UCPR-matched,0.8500,0.0299,0.1856
UCPR-matched,0.9000,0.0299,0.1856
UCPR-matched,0.9500,0.0299,0.1856
UCPR-matched,1.0000,0.0299,0.1856
CAFE,0.0000,0.0263,0.2314
CAFE,0.0500,0.0244,0.3110
CAFE,0.1000,0.0234,0.3612
CAFE,0.1500,0.0232,0.3720
CAFE,0.2000,0.0232,0.3728
CAFE,0.2500,0.0232,0.3728
CAFE,0.3000,0.0232,0.3728
CAFE,0.3500,0.0232,0.3728
CAFE,0.4000,0.0232,0.3728
CAFE,0.4500,0.0232,0.3728
CAFE,0.5000,0.0232,0.3728
CAFE,0.5500,0.0232,0.3728
CAFE,0.6000,0.0232,0.3728
CAFE,0.6500,0.0232,0.3728
CAFE,0.7000,0.0232,0.3728
CAFE,0.7500,0.0232,0.3728
CAFE,0.8000,0.0232,0.3728
CAFE,0.8500,0.0232,0.3728
CAFE,0.9000,0.0232,0.3728
CAFE,0.9500,0.0232,0.3728
CAFE,1.0000,0.0232,0.3728
