alpha,metric,group,data,opt
0,ndcg,Overall,0.11508230056940125,ETD_SEP_opt
0,ndcg,Male,0.11340226989131372,ETD_SEP_opt
0,ndcg,Female,0.11454290537705711,ETD_SEP_opt
0,ndcg,Under 18,0.11264056791225126,ETD_SEP_opt
0,ndcg,18-24,0.11217343192159313,ETD_SEP_opt
0,ndcg,25-34,0.11888351955751665,ETD_SEP_opt
0,ndcg,35-44,0.12054775083534766,ETD_SEP_opt
0,ndcg,45-49,0.11700483032606862,ETD_SEP_opt
0,ndcg,50-55,0.09808981172687607,ETD_SEP_opt
0,ndcg,56+,0.03820024448836146,ETD_SEP_opt
0,hr,Overall,0.17991689750692522,ETD_SEP_opt
0,hr,Male,0.17995169082125603,ETD_SEP_opt
0,hr,Female,0.17822185970636215,ETD_SEP_opt
0,hr,Under 18,0.1705765407554672,ETD_SEP_opt
0,hr,18-24,0.18022864828513785,ETD_SEP_opt
0,hr,25-34,0.19014084507042253,ETD_SEP_opt
0,hr,35-44,0.1925601750547046,ETD_SEP_opt
0,hr,45-49,0.16666666666666666,ETD_SEP_opt
0,hr,50-55,0.12727272727272726,ETD_SEP_opt
0,hr,56+,0.07575757575757576,ETD_SEP_opt
0,recall,Overall,0.008863358498012338,ETD_SEP_opt
0,recall,Male,0.008490094938814738,ETD_SEP_opt
0,recall,Female,0.008882372849664075,ETD_SEP_opt
0,recall,Under 18,0.008124252800187607,ETD_SEP_opt
0,recall,18-24,0.008952800708371457,ETD_SEP_opt
0,recall,25-34,0.008884064937380247,ETD_SEP_opt
0,recall,35-44,0.007324822477461235,ETD_SEP_opt
0,recall,45-49,0.008756818551938363,ETD_SEP_opt
0,recall,50-55,0.00523357431027866,ETD_SEP_opt
0,recall,56+,0.002634971437312271,ETD_SEP_opt
0,precision,Overall,0.02576869806094183,ETD_SEP_opt
0,precision,Male,0.026368760064412237,ETD_SEP_opt
0,precision,Female,0.025203915171288744,ETD_SEP_opt
0,precision,Under 18,0.026003976143141157,ETD_SEP_opt
0,precision,18-24,0.025330643353508184,ETD_SEP_opt
0,precision,25-34,0.028080985915492962,ETD_SEP_opt
0,precision,35-44,0.02713347921225383,ETD_SEP_opt
0,precision,45-49,0.030769230769230767,ETD_SEP_opt
0,precision,50-55,0.014545454545454544,ETD_SEP_opt
0,precision,56+,0.007575757575757576,ETD_SEP_opt
0,LIR,Overall,0.08861711234868945,ETD_SEP_opt
0,LIR,Male,0.08956428650747554,ETD_SEP_opt
0,LIR,Female,0.08571457075570117,ETD_SEP_opt
0,LIR,Under 18,0.08285253948275627,ETD_SEP_opt
0,LIR,18-24,0.09407672121798048,ETD_SEP_opt
0,LIR,25-34,0.087867948687704,ETD_SEP_opt
0,LIR,35-44,0.07659566199878182,ETD_SEP_opt
0,LIR,45-49,0.09086003774218589,ETD_SEP_opt
0,LIR,50-55,0.03916415942196359,ETD_SEP_opt
0,LIR,56+,0.08244572646045961,ETD_SEP_opt
0,SEP,Overall,0.7345984803566754,ETD_SEP_opt
0,SEP,Male,0.7355174749131819,ETD_SEP_opt
0,SEP,Female,0.7344759021017808,ETD_SEP_opt
0,SEP,Under 18,0.7351734646450107,ETD_SEP_opt
0,SEP,18-24,0.7361016549159878,ETD_SEP_opt
0,SEP,25-34,0.7344782328598318,ETD_SEP_opt
0,SEP,35-44,0.7326986943685501,ETD_SEP_opt
0,SEP,45-49,0.7271692538663347,ETD_SEP_opt
0,SEP,50-55,0.7322303128525456,ETD_SEP_opt
0,SEP,56+,0.7382482644558497,ETD_SEP_opt
0,ETD,Overall,0.12036910561702259,ETD_SEP_opt
0,ETD,Male,0.12107695931225346,ETD_SEP_opt
0,ETD,Female,0.11946566590716172,ETD_SEP_opt
0,ETD,Under 18,0.11942257217847771,ETD_SEP_opt
0,ETD,18-24,0.12073877591118974,ETD_SEP_opt
0,ETD,25-34,0.12162422839506176,ETD_SEP_opt
0,ETD,35-44,0.12116858237547895,ETD_SEP_opt
0,ETD,45-49,0.1181434599156118,ETD_SEP_opt
0,ETD,50-55,0.12301587301587302,ETD_SEP_opt
0,ETD,56+,0.12908496732026142,ETD_SEP_opt
0.05,ndcg,Overall,0.11389319410568967,ETD_SEP_opt
0.05,ndcg,Male,0.11228428659308977,ETD_SEP_opt
0.05,ndcg,Female,0.11362280657362428,ETD_SEP_opt
0.05,ndcg,Under 18,0.11236594372447642,ETD_SEP_opt
0.05,ndcg,18-24,0.11074232775669077,ETD_SEP_opt
0.05,ndcg,25-34,0.11702701939773484,ETD_SEP_opt
0.05,ndcg,35-44,0.1219502207611465,ETD_SEP_opt
0.05,ndcg,45-49,0.11694403381976834,ETD_SEP_opt
0.05,ndcg,50-55,0.09935023794372347,ETD_SEP_opt
0.05,ndcg,56+,0.03820024448836146,ETD_SEP_opt
0.05,hr,Overall,0.17714681440443214,ETD_SEP_opt
0.05,hr,Male,0.1760601180891036,ETD_SEP_opt
